porosity,sigma,wavelet_width
0.1,3.0,3.0
0.2,3.0,4.0
0.3,3.0,4.0
0.4,3.0,4.0
0.5,3.0,4.0
0.1,5.0,6.0
0.2,5.0,6.8
0.3,5.0,7.0
0.4,5.0,7.0
0.5,5.0,7.0
0.1,15.0,19.2
0.2,15.0,21.4
0.3,15.0,22.6
0.4,15.0,23.0
0.5,15.0,23.0
0.1,30.0,39.4
0.2,30.0,43.4
0.3,30.0,45.6
0.4,30.0,47.6
0.5,30.0,47.6
0.1,40.0,53.4
0.2,40.0,59.2
0.3,40.0,62.0
0.4,40.0,63.6
0.5,40.0,64.4
0.1,50.0,68.0
0.2,50.0,73.6
0.3,50.0,77.2
0.4,50.0,79.4
0.5,50.0,80.4
0.1,60.0,78.4
0.2,60.0,88.2
0.3,60.0,93.4
0.4,60.0,95.2
0.5,60.0,96.6
0.1,70.0,91.0
0.2,70.0,101.4
0.3,70.0,109.6
0.4,70.0,112.0
0.5,70.0,114.4
0.1,80.0,107.6
0.2,80.0,118.4
0.3,80.0,127.0
0.4,80.0,128.8
0.5,80.0,128.4
0.1,90.0,120.2
0.2,90.0,135.2
0.3,90.0,141.0
0.4,90.0,144.2
0.5,90.0,145.0
0.1,100.0,129.8
0.2,100.0,148.4
0.3,100.0,157.2
0.4,100.0,159.2
0.5,100.0,160.0
